radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,636,1,1601,6977357,0,39.777033,10.060619,18613,12,1,1459751568,1463394399,0
UMTS,636,1,1702,7307199,0,37.367935180664,11.646194458008,1000,1,1,1454722314,1454722314,0
UMTS,636,1,1105,6912218,0,38.838729858398,9.0218353271484,1000,1,1,1456714860,1456714860,0
UMTS,636,1,1105,6912202,0,38.83823,9.014108,1370,13,1,1459751569,1584289858,0
GSM,636,1,17003,19175,0,37.446212768555,12.588272094727,1000,3,1,1459718723,1459939655,0
GSM,636,1,16001,18673,0,38.754959106445,9.1674041748047,1000,1,1,1458708576,1458708576,0
GSM,636,1,21101,12141,0,38.85383605957,8.8501739501953,1000,1,1,1459662589,1459662589,0
GSM,636,1,21105,14965,0,38.851089477539,8.8529205322266,1000,1,1,1459662589,1459662589,0
GSM,636,1,16002,10446,0,39.655838012695,10.31135559082,1000,1,1,1444208217,1444208217,0
GSM,636,1,11010,10026,0,38.831177,8.866653,1140,2,1,1459686523,1490247129,0
GSM,636,1,17008,12273,0,36.408004760742,11.326217651367,1000,1,1,1452650008,1452650008,0
GSM,636,1,16001,11523,0,38.75358581543,9.1674041748047,1000,1,1,1458709739,1458709739,0
GSM,636,1,16001,18671,0,38.754959106445,9.1674041748047,1000,1,1,1458708559,1458708559,0
GSM,636,1,11010,16396,0,38.830490112305,8.8611602783203,1000,1,1,1459662589,1459662589,0
GSM,636,1,21131,11004,0,38.824996948242,8.8625335693359,1000,1,1,1459662589,1459662589,0
GSM,636,1,11010,16862,0,38.83186340332,8.8611602783203,1000,1,1,1459662589,1459662589,0
GSM,636,1,11006,12005,0,38.765019,8.999622,1000,5,1,1459672292,1584872108,0
GSM,636,1,17006,19135,0,37.387161254883,11.62971496582,1000,1,1,1454719755,1454719755,0
GSM,636,1,16001,11527,0,38.754959106445,9.1674041748047,1000,1,1,1458708666,1458708666,0
GSM,636,1,11010,16076,0,38.842849731445,8.8570404052734,1000,1,1,1459662589,1459662589,0
GSM,636,1,11010,21426,0,38.818130493164,8.8652801513672,1000,1,1,1459662589,1459662589,0
UMTS,636,1,1601,6976978,0,39.761581420898,9.8458099365234,1000,1,1,1443521175,1443521175,0
UMTS,636,1,1702,7304708,0,37.383041,11.598816,1000,2,1,1459751568,1491812283,0
UMTS,636,1,1030,32846050,0,38.715477,9.016342,1000,4,1,1365960886,1376713092,0
UMTS,636,1,1030,32845568,0,38.713913,9.020004,1000,18,1,1365960906,1376712823,0
UMTS,636,1,1030,32846047,0,38.715591,9.015884,1000,3,1,1365961088,1376713021,0
UMTS,636,1,1030,32845650,0,38.716049,9.014053,1000,3,1,1365961104,1376713047,0
UMTS,636,1,1030,32845647,0,38.716506958008,9.0122222900391,1000,1,1,1365941321,1365941321,0
GSM,636,1,40008,45066,0,38.774681,8.984756,1000,72,1,1370960556,1370960556,0
GSM,636,1,40008,45062,0,38.774912,8.985968,1000,17,1,1370960482,1370960482,0
UMTS,636,1,1020,32843939,0,38.782425,8.99025,1000,4,1,1370494235,1370494235,0
GSM,636,1,40008,45086,0,38.784313,8.99025,1000,16,1,1370481407,1370481407,0
GSM,636,1,40008,45433,0,38.78952,8.988495,1000,18,1,1370481629,1370481629,0
GSM,636,1,40008,45082,0,38.783112,8.99128,1000,12,1,1370481378,1370481378,0
GSM,636,1,40008,45482,0,38.785825,8.989203,1000,21,1,1370481536,1370481536,0
GSM,636,1,40008,45432,0,38.793068,8.988533,1000,4,1,1370481649,1370481649,0
GSM,636,1,40008,45637,0,38.793411254883,8.9888763427734,1000,3,1,1370481667,1370481667,0
GSM,636,1,40008,45827,0,38.794899,8.991852,1000,12,1,1370481733,1370481733,0
GSM,636,1,40008,45825,0,38.796501,8.996429,1000,4,1,1370481751,1370481751,0
GSM,636,1,40008,45102,0,38.799408,9.001282,1000,30,1,1370482226,1370482226,0
GSM,636,1,40007,45142,0,38.802338,9.005814,1000,6,1,1370482259,1370482259,0
GSM,636,1,40007,48307,0,38.803671,9.012384,1000,17,1,1370482351,1370482351,0
GSM,636,1,40007,48301,0,38.803024291992,9.0177154541016,1000,1,1,1370482356,1370482356,0
GSM,636,1,40008,45553,0,38.778305,8.989857,1000,7,1,1370494288,1370494288,0
GSM,636,1,40008,45481,0,38.777237,8.988724,1000,9,1,1370494617,1370494617,0
GSM,636,1,40008,45061,0,38.774185,8.98613,1000,7,1,1370494657,1370494657,0
GSM,636,1,40008,45021,0,38.774185180664,8.9833831787109,1000,3,1,1370494878,1370494878,0
GSM,636,1,40008,45025,0,38.774185,8.983246,1000,20,1,1370495573,1370495573,0
UMTS,636,1,1020,32843807,0,38.762414,8.981029,1000,7,1,1370672949,1370672949,0
GSM,636,1,40008,45293,0,38.765259,8.982697,1000,4,1,1370672972,1370672972,0
GSM,636,1,40008,45296,0,38.765533,8.984482,1000,10,1,1370673027,1370673027,0
GSM,636,1,40008,45295,0,38.765286,8.989481,1000,25,1,1370673215,1370673215,0
GSM,636,1,40008,45067,0,38.76594543457,8.9902496337891,1000,4,1,1370673171,1370673171,0
GSM,636,1,40003,45097,0,38.766769,8.995468,1000,5,1,1370673240,1370673240,0
GSM,636,1,40003,45095,0,38.767318725586,8.9971160888672,1000,6,1,1370673285,1370673285,0
GSM,636,1,40003,45282,0,38.767318725586,8.9971160888672,1000,1,1,1370673310,1370673310,0
GSM,636,1,40003,45286,0,38.767319,8.998146,1000,8,1,1370673375,1370673375,0
GSM,636,1,40007,45616,0,38.767318725586,8.9984893798828,1000,2,1,1370673410,1370673410,0
GSM,636,1,40003,45285,0,38.767642,8.999136,1000,17,1,1370779731,1370779731,0
GSM,636,1,20067,22061,0,41.828384399414,9.6082305908203,1000,3,1,1371313468,1371313468,0
GSM,636,1,20067,32063,0,41.847610473633,9.6027374267578,1000,1,1,1372231116,1372231116,0
GSM,636,1,20067,22016,0,41.847610473633,9.6027374267578,1000,1,1,1372231118,1372231118,0
GSM,636,1,20067,22063,0,41.847610473633,9.6027374267578,1000,1,1,1372231507,1372231507,0
UMTS,636,1,1030,32846038,0,38.720099,8.992996,1000,13,1,1376710503,1376710503,0
UMTS,636,1,1030,32845897,0,38.719462,8.992913,1000,33,1,1376711808,1376711808,0
UMTS,636,1,1030,32845628,0,38.719652,8.992819,1000,31,1,1376711793,1376711793,0
UMTS,636,1,1030,32845707,0,38.719878,8.992497,1000,11,1,1376711725,1376711725,0
UMTS,636,1,1030,32846029,0,38.71994,8.99231,1000,2,1,1376711723,1376711723,0
UMTS,636,1,1030,32845997,0,38.719503,8.997928,1000,22,1,1376711888,1376711888,0
UMTS,636,1,1030,32845928,0,38.720626831055,8.9929962158203,1000,1,1,1376711607,1376711607,0
UMTS,636,1,1030,32845577,0,38.719646,9.007318,1000,7,1,1376711922,1376711922,0
UMTS,636,1,1030,32846051,0,38.718831,9.015814,1000,13,1,1376711990,1376711990,0
UMTS,636,1,1030,32845517,0,38.716506958008,9.0204620361328,1000,3,1,1376712006,1376712006,0
UMTS,636,1,1030,32845519,0,38.716122,9.018539,1000,25,1,1376712984,1376712984,0
UMTS,636,1,1030,32845598,0,38.715134,9.026642,1000,10,1,1376712082,1376712082,0
UMTS,636,1,1030,32845597,0,38.715134,9.03186,1000,10,1,1376712174,1376712174,0
UMTS,636,1,1030,32845049,0,38.7148,9.026735,1000,37,1,1376712437,1376712437,0
UMTS,636,1,1030,32845678,0,38.712387,9.02153,1000,9,1,1376712484,1376712484,0
UMTS,636,1,1030,32845828,0,38.71376,9.020462,1000,9,1,1376712832,1376712832,0
GSM,636,1,21131,11014,0,38.83049,8.87146,1145,2,1,1459686523,1484452054,0
GSM,636,1,21131,10993,0,38.851089477539,8.8529205322266,1000,1,1,1459662589,1459662589,0
GSM,636,1,11010,21423,0,38.812637329102,8.8625335693359,1000,1,1,1459662589,1459662589,0
GSM,636,1,17005,10145,0,37.376862,11.641388,1817,2,1,1459751568,1487078248,0
GSM,636,1,16002,10442,0,39.655838012695,10.31135559082,1000,1,1,1444208221,1444208221,0
GSM,636,1,17006,11581,0,37.387161254883,11.62971496582,1000,1,1,1454719761,1454719761,0
GSM,636,1,17005,11781,0,37.38945,11.598587,1000,3,1,1459751568,1489633060,0
UMTS,636,1,1105,6937803,0,38.848106,9.018318,2917,32,1,1459751569,1524330024,0
UMTS,636,1,1601,6977687,0,39.764132,10.074169,5055,7,1,1444301192,1444301192,0
UMTS,636,1,1702,7313630,0,37.367935180664,11.644821166992,1000,1,1,1454720958,1454720958,0
UMTS,636,1,1601,6985407,0,39.287968,9.325161,1000,8,1,1456812712,1456812712,0
UMTS,636,1,1105,6912471,0,38.846777,9.032704,1156,5,1,1459751569,1505822937,0
UMTS,636,1,1601,6977317,0,39.765701,10.17334,1000,2,1,1444298205,1444298205,0
UMTS,636,1,1601,6977258,0,39.658585,10.310767,1000,14,1,1444292420,1444292420,0
GSM,636,1,40004,46081,0,38.720626831055,9.0520477294922,1000,28,1,1239144487,1239144487,0
GSM,636,1,40004,46163,0,38.720626831055,9.0520477294922,1000,22,1,1239144487,1239144487,0
GSM,636,1,10012,11181,0,38.720667,9.052048,1000,34,1,1239144488,1239144488,0
GSM,636,1,40004,46213,0,38.720626831055,9.0520477294922,1000,1,1,1239144487,1239144487,0
GSM,636,1,40004,46251,0,38.720626831055,9.0520477294922,1000,2,1,1239144487,1239144487,0
GSM,636,1,10013,10983,0,38.795079,8.98922,1094,84,1,1244999798,1244999798,0
GSM,636,1,10013,11021,0,38.792653,8.98891,1000,163,1,1244999798,1244999798,0
UMTS,636,1,1010,75879,0,38.793954,8.988853,1000,119,1,1244999841,1244999841,0
UMTS,636,1,1010,76079,0,38.780011,9.003608,1000,33,1,1244999838,1244999838,0
GSM,636,1,10014,12391,0,38.787643,8.989975,1000,10,1,1244999782,1244999782,0
GSM,636,1,10014,12392,0,38.783798217773,8.9916229248047,1000,3,1,1244999782,1244999782,0
GSM,636,1,40008,45551,0,38.783798217773,8.9916229248047,1000,3,1,1244999782,1244999782,0
